Bảo hành,Tình trạng,Giá đã qua sử dụng,Tên,Giá mới,Tiết kiệm,Bảo hành mới,Công nghệ CPU,Loại CPU,Tốc độ CPU,Tốc độ tối đa,RAM,Loại RAM,Tốc độ Bus RAM,Hỗ trợ RAM tối đa,Ổ cứng,Kích thước màn hình,Độ phân giải,Công nghệ màn hình,Màn hình cảm ứng,Thiết kế card,Card đồ họa,Công nghệ âm thanh,Cổng giao tiếp,Kết nối không dây,Khe đọc thẻ nhớ,Ổ đĩa quang,Webcam,Tính năng khác,Đèn bàn phím,Loại PIN,Model Adapter,Thông tin Pin,Hệ điều hành,Kích thước,Trọng lượng,Chất liệu,Thời điểm ra mắt
"●
Bảo hành: 3 tháng tại TGDD Xem thêm","●
Tình trạng máy: Có trầy xước",49.130.000₫,MacBook Pro Touch 16 inch 2019 i7 2.6GHz/16GB/512GB/4GB Radeon Pro 5300M (MVVJ2SA/A),Giá máy mới: 59.990.000₫,10.860.000₫ (18%),Thời gian bảo hành: 1 năm,Intel Core i7 Coffee Lake,Hãng không công bố,2.60 GHz,Turbo Boost 4.5 GHz,Đang cập nhật,DDR4 (1 khe),2666 MHz,Không hỗ trợ nâng cấp,512 GB SSD,16 inch,Retina (3072 x 1920),"Tấm nền IPS, LED Backlit",Không,Card rời,"Radeon Pro 5300M, 4 GB","Dolby Atmos, High‑fidelity six‑speaker",4 x Thunderbolt 3 (USB-C),"Bluetooth 5.0, Wi-Fi 802.11 a/b/g/n/ac",Không,,HD webcam,Bảo mật vân tay,Có,,,Khoảng 10 tiếng,Mac OS,,2.0 kg,Vỏ kim loại nguyên khối,2019
"●
Bảo hành: 5 tháng tại TGDD Xem thêm","●
Tình trạng máy: Có trầy xước",48.120.000₫,Apple Macbook Pro 2019 Touch i7 2.6GHz/16GB/256GB/ Radeon 555X (MV902SA/A),Máy mới đã ngừng kinh doanh,,Thời gian bảo hành: 1 năm,Intel Core i7 Coffee Lake,Hãng không công bố,2.60 GHz,Turbo Boost 4.5 GHz,16 GB,DDR4 (On board),2400 MHz,Không hỗ trợ nâng cấp,SSD 256 GB NVMe PCIe,15.4 inch,Retina (2880 x 1800),"Tấm nền IPS, LED Backlit",Không,Card rời,Radeon Pro 555X 4 GB,"Loa kép (2 kênh), Stereo, Mini Jack x 1",4 x Thunderbolt 3 (USB-C),"Bluetooth 5.0, Wi-Fi 802.11 a/b/g/n/ac",Không,,HD webcam,"Bảo mật vân tay, Touch Bar tích hợp cảm biến Touch ID",Có,,,Khoảng 10 tiếng,Mac OS,Dài 349.3 mm - Rộng 240.7 mm - Dày 15.5 mm,1.83 kg,Vỏ kim loại nguyên khối,
"●
Bảo hành: 7.5 tháng chính hãng Xem thêm","●
Tình trạng máy: Có trầy xước",47.260.000₫,HP Envy 15 ep0145TX i7 10750H/16GB/1TB SSD/6GB GTX 1660Ti Max-Q/Office H&S2019/Touch/Win10 (231V7PA),Máy mới đã ngừng kinh doanh,,Thời gian bảo hành: 1 năm,Intel Core i7 Comet Lake,10750H,2.60 GHz,Turbo Boost 5.0 GHz,16 GB,DDR4 (2 khe),2933 MHz,64 GB,"SSD 1 TB M.2 PCIe, Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng",15.6 inch,Full HD (1920 x 1080),"60Hz, Tấm nền IPS, LED Backlit, 400 nits",Có,Card rời,"NVIDIA GeForce GTX 1660Ti Max-Q, 6 GB",Bang & Olufsen audio,"2 x Thunderbolt 3 (USB-C), 2x SuperSpeed USB A","Bluetooth 5.0, Wi-Fi 6 (802.11ax)",Micro SD,,HD webcam,"Bảo mật vân tay, Công tắc khóa camera",Có,,TPN-DP10,Li - Polymer 6 cell,Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,,2.14,Vỏ kim loại nguyên khối,2020
"●
Bảo hành: 7.5 tháng chính hãng Xem thêm","●
Tình trạng máy: Có trầy xước",47.260.000₫,HP Omen 15 ek0079TX i7 10750H/16GB/1TB SSD/6GB RTX2060/300Hz/Office H&S2019/Win10 (26Y69PA),Máy mới đã ngừng kinh doanh,14%,Thời gian bảo hành: 1 năm,Intel Core i7 Comet Lake,10750H,2.60 GHz,Turbo Boost 5.0 GHz,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),2933 MHz,32 GB,"SSD 1 TB M.2 PCIe, Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng",15.6 inch,"Full HD (1920 x 1080), 300Hz 3ms","Tấm nền IPS, Chống chói Anti Glare, LED Backlit, 100% sRGB",Không,Card rời,"NVIDIA GeForce RTX 2060, 6 GB","HP Audio Boost, Bang & Olufsen audio, DTS X:Ultra Audio","HDMI, LAN (RJ45), Thunderbolt 3, Mini DisplayPort, 3x SuperSpeed USB A","Bluetooth 5.0, Wi-Fi 6 (802.11ax)",SD,,HD webcam,Không,Có,,Đang cập nhật,"6-cell Li-ion, 70.9 Wh",Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,Dài 357.9 mm - Rộng 239.7 mm - Dày 22.5 mm,2.36,Kim loại và polycarbonate,2020
"●
Bảo hành: 7.5 tháng chính hãng Xem thêm","●
Tình trạng máy: Có trầy xước",47.260.000₫,HP Omen 15 ek0079TX i7 10750H/16GB/1TB SSD/6GB RTX2060/300Hz/Office H&S2019/Win10 (26Y69PA),Máy mới đã ngừng kinh doanh,14%,Thời gian bảo hành: 1 năm,Intel Core i7 Comet Lake,10750H,2.60 GHz,Turbo Boost 5.0 GHz,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),2933 MHz,32 GB,"SSD 1 TB M.2 PCIe, Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng",15.6 inch,"Full HD (1920 x 1080), 300Hz 3ms","Tấm nền IPS, Chống chói Anti Glare, LED Backlit, 100% sRGB",Không,Card rời,"NVIDIA GeForce RTX 2060, 6 GB","HP Audio Boost, Bang & Olufsen audio, DTS X:Ultra Audio","HDMI, LAN (RJ45), Thunderbolt 3, Mini DisplayPort, 3x SuperSpeed USB A","Bluetooth 5.0, Wi-Fi 6 (802.11ax)",SD,,HD webcam,Không,Có,,Đang cập nhật,"6-cell Li-ion, 70.9 Wh",Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,Dài 357.9 mm - Rộng 239.7 mm - Dày 22.5 mm,2.36,Kim loại và polycarbonate,2020
"●
Bảo hành: 7.5 tháng chính hãng Xem thêm","●
Tình trạng máy: Có trầy xước",47.260.000₫,HP Omen 15 ek0079TX i7 10750H/16GB/1TB SSD/6GB RTX2060/300Hz/Office H&S2019/Win10 (26Y69PA),Máy mới đã ngừng kinh doanh,14%,Thời gian bảo hành: 1 năm,Intel Core i7 Comet Lake,10750H,2.60 GHz,Turbo Boost 5.0 GHz,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),2933 MHz,32 GB,"SSD 1 TB M.2 PCIe, Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng",15.6 inch,"Full HD (1920 x 1080), 300Hz 3ms","Tấm nền IPS, Chống chói Anti Glare, LED Backlit, 100% sRGB",Không,Card rời,"NVIDIA GeForce RTX 2060, 6 GB","HP Audio Boost, Bang & Olufsen audio, DTS X:Ultra Audio","HDMI, LAN (RJ45), Thunderbolt 3, Mini DisplayPort, 3x SuperSpeed USB A","Bluetooth 5.0, Wi-Fi 6 (802.11ax)",SD,,HD webcam,Không,Có,,Đang cập nhật,"6-cell Li-ion, 70.9 Wh",Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,Dài 357.9 mm - Rộng 239.7 mm - Dày 22.5 mm,2.36,Kim loại và polycarbonate,2020
"●
Bảo hành: 23 tháng chính hãng Xem thêm","●
Tình trạng máy: Có trầy xước",44.540.000₫,Asus ROG Zephyrus G14 Alan Walker GA401QEC R9 5900HS/16GB 1TB/4GB RTX3050Ti/120Hz/Túi/Win10 (K2064T),Giá máy mới: 49.990.000₫,5.450.000₫ (10%),chính hãng laptop 2 năm,AMD Ryzen 9,5900HS,3.00 GHz,Turbo Boost 4.6 GHz,16 GB,DDR4 2 khe (8GB onboard+ 1 khe 8GB),3200 MHz,24 GB,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe 3.0 mở rộng (nâng cấp dung lượng không giới hạn), 1 TB SSD M.2 PCIe 3.0 (Có thể tháo ra, lắp thanh khác dung lượng không giới hạn)",14 inch,QHD (2560 x 1440),"100% DCI-P3, Chống chói Anti Glare, Công nghệ IPS, Độ sáng 300 nits",Không,Card rời,"NVIDIA GeForce RTX3050Ti, 4 GB","Công nghệ Smart AMP, Dolby Atmos","Jack tai nghe 3.5 mm, 1x USB 3.2 Gen 2 Type-C support DisplayPort / power delivery / G-SYNC, 2 x USB 3.2, HDMI, USB Type-C","Wi-Fi 6 (802.11ax), Bluetooth 5.1",Không,,Không tích hợp,Bảo mật vân tay,Có,,,"4-cell Li-ion, 76 Wh",Windows 10 Home SL,,1.7,Vỏ nhựa - nắp lưng bằng kim loại,2021
"●
Bảo hành: 20.5 tháng chính hãng Xem thêm","●
Tình trạng máy: Có trầy xước",44.350.000₫,MSI Gaming GP76 11UG i7 11800H/16GB/1TB SSD/8GB RTX3070/240Hz/Balo/Chuột/Win10 (435VN),Giá máy mới: 52.990.000₫,8.640.000₫ (16%),chính hãng laptop 2 năm,Intel Core i7 Tiger Lake,11800H,2.30 GHz,Turbo Boost 4.6 GHz,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,64 GB,"1 TB SSD M.2 PCIe, Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng",17.3 inch,Full HD (1920 x 1080),Tấm nền IPS,Không,Card rời,"NVIDIA GeForce RTX 3070, 8 GB",Nahimic Audio,"Jack tai nghe 3.5 mm, 3 x USB 3.2, HDMI, LAN (RJ45), Mini DisplayPort","Bluetooth 5.2, Wi-Fi 6 (802.11ax)",SD,,HD webcam,Đèn bàn phím chuyển màu RGB,Có,,,"4-cell Li-ion, 65 Wh",Windows 10 Home SL,,2.9,Vỏ kim loại,2021
"●
Bảo hành: 6 tháng chính hãng Xem thêm","●
Tình trạng máy: Có trầy xước",43.930.000₫,Apple MacBook Pro M1 2020 16GB/1TB SSD,Giá máy mới: 52.990.000₫,9.060.000₫ (17%),chính hãng laptop 1 năm,Apple M1,Hãng không công bố,Hãng không công bố,Hãng không công bố,16 GB,Hãng không công bố,Hãng không công bố,Không hỗ trợ nâng cấp,1 TB SSD,13.3 inch,Retina (2560 x 1600),"Tấm nền IPS, LED Backlit, Retina, 500 nits brightness, True Tone Technology",Không,Card tích hợp,8 nhân GPU,"3 microphones, Loa kép (2 kênh), Dolby Atmos","Jack tai nghe 3.5 mm, 2 x Thunderbolt 3 (USB-C)","Bluetooth 5.0, Wi-Fi 6 (802.11ax)",Không,,HD webcam,Bảo mật vân tay,Có,,Đang cập nhật,Khoảng 10 tiếng,Mac OS,,1.4,Vỏ kim loại nguyên khối,2020
"●
Bảo hành: 10.5 tháng chính hãng Xem thêm","●
Tình trạng máy: Có trầy xước",46.040.000₫,Apple MacBook Pro M1 2020 16GB/1TB SSD,Giá máy mới: 52.990.000₫,9.060.000₫ (17%),chính hãng laptop 1 năm,Apple M1,Hãng không công bố,Hãng không công bố,Hãng không công bố,16 GB,Hãng không công bố,Hãng không công bố,Không hỗ trợ nâng cấp,1 TB SSD,13.3 inch,Retina (2560 x 1600),"Tấm nền IPS, LED Backlit, Retina, 500 nits brightness, True Tone Technology",Không,Card tích hợp,8 nhân GPU,"3 microphones, Loa kép (2 kênh), Dolby Atmos","Jack tai nghe 3.5 mm, 2 x Thunderbolt 3 (USB-C)","Bluetooth 5.0, Wi-Fi 6 (802.11ax)",Không,,HD webcam,Bảo mật vân tay,Có,,Đang cập nhật,Khoảng 10 tiếng,Mac OS,,1.4,Vỏ kim loại nguyên khối,2020
"●
Bảo hành: 10.5 tháng chính hãng Xem thêm","●
Tình trạng máy: Có trầy xước",46.040.000₫,Apple MacBook Pro M1 2020 16GB/1TB SSD,Giá máy mới: 52.990.000₫,9.060.000₫ (17%),chính hãng laptop 1 năm,Apple M1,Hãng không công bố,Hãng không công bố,Hãng không công bố,16 GB,Hãng không công bố,Hãng không công bố,Không hỗ trợ nâng cấp,1 TB SSD,13.3 inch,Retina (2560 x 1600),"Tấm nền IPS, LED Backlit, Retina, 500 nits brightness, True Tone Technology",Không,Card tích hợp,8 nhân GPU,"3 microphones, Loa kép (2 kênh), Dolby Atmos","Jack tai nghe 3.5 mm, 2 x Thunderbolt 3 (USB-C)","Bluetooth 5.0, Wi-Fi 6 (802.11ax)",Không,,HD webcam,Bảo mật vân tay,Có,,Đang cập nhật,Khoảng 10 tiếng,Mac OS,,1.4,Vỏ kim loại nguyên khối,2020
"●
Bảo hành: 19.5 tháng chính hãng Xem thêm","●
Tình trạng máy: Có trầy xước",42.970.000₫,Lenovo Yoga 9 14ITL5 i7/1185G7/16GB/1TB SSD/Touch/Pen/Win10 (82BG006EVN),Giá máy mới: 49.990.000₫,7.020.000₫ (14%),chính hãng laptop 2 năm,Intel Core i7 Tiger Lake,1185G7,3.00 GHz,Turbo Boost 4.8 GHz,16 GB,LPDDR4 (On board),4266 MHz,Không hỗ trợ nâng cấp,1 TB SSD M.2 PCIe,14 inch,4K/UHD (3840 x 2160),"90% DCI-P3, Tấm nền IPS, 500 nits Glossy, HDR Vesa400",Có,Card tích hợp,Intel Iris Xe Graphics,"Stereo speakers, Dolby Atmos","Jack tai nghe 3.5 mm, 2 x Thunderbolt 4 USB-C, 1 x USB 3.2","Wi-Fi 6 (802.11ax), Bluetooth 5.1",Không,,HD webcam,"Tiêu chuẩn Nền Intel Evo, Bảo mật vân tay, Công tắc khóa camera",Có,,Đang cập nhật,"Li-Polymer, 60 Wh",Windows 10 Home SL,,1.37,Vỏ kim loại,2021
"●
Bảo hành: 20 tháng chính hãng Xem thêm","●
Tình trạng máy: Có trầy xước",43.190.000₫,Lenovo Yoga 9 14ITL5 i7/1185G7/16GB/1TB SSD/Touch/Pen/Win10 (82BG006EVN),Giá máy mới: 49.990.000₫,7.020.000₫ (14%),chính hãng laptop 2 năm,Intel Core i7 Tiger Lake,1185G7,3.00 GHz,Turbo Boost 4.8 GHz,16 GB,LPDDR4 (On board),4266 MHz,Không hỗ trợ nâng cấp,1 TB SSD M.2 PCIe,14 inch,4K/UHD (3840 x 2160),"90% DCI-P3, Tấm nền IPS, 500 nits Glossy, HDR Vesa400",Có,Card tích hợp,Intel Iris Xe Graphics,"Stereo speakers, Dolby Atmos","Jack tai nghe 3.5 mm, 2 x Thunderbolt 4 USB-C, 1 x USB 3.2","Wi-Fi 6 (802.11ax), Bluetooth 5.1",Không,,HD webcam,"Tiêu chuẩn Nền Intel Evo, Bảo mật vân tay, Công tắc khóa camera",Có,,Đang cập nhật,"Li-Polymer, 60 Wh",Windows 10 Home SL,,1.37,Vỏ kim loại,2021
"●
Bảo hành: 23 tháng chính hãng Xem thêm","●
Tình trạng máy: Có trầy xước",44.540.000₫,Lenovo Yoga 9 14ITL5 i7/1185G7/16GB/1TB SSD/Touch/Pen/Win10 (82BG006EVN),Giá máy mới: 49.990.000₫,7.020.000₫ (14%),chính hãng laptop 2 năm,Intel Core i7 Tiger Lake,1185G7,3.00 GHz,Turbo Boost 4.8 GHz,16 GB,LPDDR4 (On board),4266 MHz,Không hỗ trợ nâng cấp,1 TB SSD M.2 PCIe,14 inch,4K/UHD (3840 x 2160),"90% DCI-P3, Tấm nền IPS, 500 nits Glossy, HDR Vesa400",Có,Card tích hợp,Intel Iris Xe Graphics,"Stereo speakers, Dolby Atmos","Jack tai nghe 3.5 mm, 2 x Thunderbolt 4 USB-C, 1 x USB 3.2","Wi-Fi 6 (802.11ax), Bluetooth 5.1",Không,,HD webcam,"Tiêu chuẩn Nền Intel Evo, Bảo mật vân tay, Công tắc khóa camera",Có,,Đang cập nhật,"Li-Polymer, 60 Wh",Windows 10 Home SL,,1.37,Vỏ kim loại,2021
"●
Bảo hành: 3 tháng tại TGDD Xem thêm","●
Tình trạng máy: Có trầy xước",42.580.000₫,HP EliteBook X360 14 i7 8550U/16GB/512GB/Win10 (5XD05PA),Máy mới đã ngừng kinh doanh,18%,Thời gian bảo hành: 1 năm,Intel Core i7 Coffee Lake,8550U,1.80 GHz,Turbo Boost 4.0 GHz,16 GB,DDR3,2133 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,14 inch,Full HD (1920 x 1080),"60Hz, Tấm nền IPS, LED Backlit",Có,Card tích hợp,Intel UHD Graphics 620,Bang & Olufsen audio,"HDMI, 2 x USB 3.1, 2 x Thunderbolt 2","Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 4.2",Không,,"FHD Webcam Camera, IR camera","Bút cảm ứng, Bảo mật vân tay",Có,,,"Li-Polymer, 80 Wh",Windows 10 Pro,Dài 321.4 mm - Rộng 215 mm - Dày 16.9 mm,1.32 kg,Vỏ kim loại nguyên khối,2019
"●
Bảo hành: 3 tháng tại TGDD Xem thêm","●
Tình trạng máy: Có trầy xước",42.580.000₫,HP EliteBook X360 14 i7 8550U/16GB/512GB/Win10 (5XD05PA),Máy mới đã ngừng kinh doanh,18%,Thời gian bảo hành: 1 năm,Intel Core i7 Coffee Lake,8550U,1.80 GHz,Turbo Boost 4.0 GHz,16 GB,DDR3,2133 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,14 inch,Full HD (1920 x 1080),"60Hz, Tấm nền IPS, LED Backlit",Có,Card tích hợp,Intel UHD Graphics 620,Bang & Olufsen audio,"HDMI, 2 x USB 3.1, 2 x Thunderbolt 2","Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 4.2",Không,,"FHD Webcam Camera, IR camera","Bút cảm ứng, Bảo mật vân tay",Có,,,"Li-Polymer, 80 Wh",Windows 10 Pro,Dài 321.4 mm - Rộng 215 mm - Dày 16.9 mm,1.32 kg,Vỏ kim loại nguyên khối,2019
"●
Bảo hành: 3 tháng tại TGDD Xem thêm","●
Tình trạng máy: Có trầy xước",42.580.000₫,HP EliteBook X360 14 i7 8550U/16GB/512GB/Win10 (5XD05PA),Máy mới đã ngừng kinh doanh,18%,Thời gian bảo hành: 1 năm,Intel Core i7 Coffee Lake,8550U,1.80 GHz,Turbo Boost 4.0 GHz,16 GB,DDR3,2133 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,14 inch,Full HD (1920 x 1080),"60Hz, Tấm nền IPS, LED Backlit",Có,Card tích hợp,Intel UHD Graphics 620,Bang & Olufsen audio,"HDMI, 2 x USB 3.1, 2 x Thunderbolt 2","Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 4.2",Không,,"FHD Webcam Camera, IR camera","Bút cảm ứng, Bảo mật vân tay",Có,,,"Li-Polymer, 80 Wh",Windows 10 Pro,Dài 321.4 mm - Rộng 215 mm - Dày 16.9 mm,1.32 kg,Vỏ kim loại nguyên khối,2019
"●
Bảo hành: 3 tháng tại TGDD Xem thêm","●
Tình trạng máy: Có trầy xước",42.580.000₫,HP EliteBook X360 14 i7 8550U/16GB/512GB/Win10 (5XD05PA),Máy mới đã ngừng kinh doanh,18%,Thời gian bảo hành: 1 năm,Intel Core i7 Coffee Lake,8550U,1.80 GHz,Turbo Boost 4.0 GHz,16 GB,DDR3,2133 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,14 inch,Full HD (1920 x 1080),"60Hz, Tấm nền IPS, LED Backlit",Có,Card tích hợp,Intel UHD Graphics 620,Bang & Olufsen audio,"HDMI, 2 x USB 3.1, 2 x Thunderbolt 2","Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 4.2",Không,,"FHD Webcam Camera, IR camera","Bút cảm ứng, Bảo mật vân tay",Có,,,"Li-Polymer, 80 Wh",Windows 10 Pro,Dài 321.4 mm - Rộng 215 mm - Dày 16.9 mm,1.32 kg,Vỏ kim loại nguyên khối,2019
"●
Bảo hành: 3 tháng tại TGDD Xem thêm","●
Tình trạng máy: Có trầy xước",42.580.000₫,HP EliteBook X360 14 i7 8550U/16GB/512GB/Win10 (5XD05PA),Máy mới đã ngừng kinh doanh,18%,Thời gian bảo hành: 1 năm,Intel Core i7 Coffee Lake,8550U,1.80 GHz,Turbo Boost 4.0 GHz,16 GB,DDR3,2133 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,14 inch,Full HD (1920 x 1080),"60Hz, Tấm nền IPS, LED Backlit",Có,Card tích hợp,Intel UHD Graphics 620,Bang & Olufsen audio,"HDMI, 2 x USB 3.1, 2 x Thunderbolt 2","Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 4.2",Không,,"FHD Webcam Camera, IR camera","Bút cảm ứng, Bảo mật vân tay",Có,,,"Li-Polymer, 80 Wh",Windows 10 Pro,Dài 321.4 mm - Rộng 215 mm - Dày 16.9 mm,1.32 kg,Vỏ kim loại nguyên khối,2019
"●
Bảo hành: 8.5 tháng chính hãng Xem thêm","●
Tình trạng máy: Có trầy xước",42.550.000₫,HP EliteBook X360 1040 G7 i7 10710U/16GB/512GB+32GB/Pen/Touch/Win10 Pro (230P8PA),Máy mới đã ngừng kinh doanh,,Thời gian bảo hành: 1 năm,Intel Core i7 Comet Lake,10710U,1.10 GHz,Turbo Boost 4.7 GHz,16 GB,LPDDR4 (On board),2933 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe, Intel Optane 32GB (H10)",14 inch,Full HD (1920 x 1080),"Tấm nền IPS, Chống chói Anti Glare, Độ sáng 1000 nits, HP Sure View",Có,Card tích hợp,Intel UHD Graphics,Bang & Olufsen audio,"Jack tai nghe 3.5 mm, HDMI, 2 x USB 3.1, 2 x USB 3.1 Type-C with Thunderbolt","Bluetooth 5.0, Wi-Fi 6 (802.11ax)",Không,,"HD webcam, Camera IR","Bảo mật vân tay, Mở khóa khuôn mặt",Có,,TPN-LA12,"4-cell Li-ion, 78.5 Wh",Windows 10 Pro,,1.32,Vỏ kim loại nguyên khối,2020
"●
Bảo hành: 3 tháng tại TGDD Xem thêm","●
Tình trạng máy: Có trầy xước",40.940.000₫,Lenovo Yoga C930 13IKB i7 8550U/16GB/512GB/Win10 (81C4009QVN),Máy mới đã ngừng kinh doanh,,Thời gian bảo hành: 1 năm,Intel Core i7 Coffee Lake,8550U,1.80 GHz,Turbo Boost 4.0 GHz,16 GB,DDR4 (On board),2400 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,13.9 inch,4K/UHD (3840 x 2160),"60Hz, Tấm nền IPS",Có,Card tích hợp,Integrated Graphics,Dolby AudioPremium,"Thunderbolt 3, USB 3.1, USB Type-C","Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 4.1",Không,,1 MP,Bảo mật vân tay,Có,,,"Li-Polymer, 80 Wh",Windows 10 Home SL,Dài 322 mm - Rộng 227 mm - Dày 14.5 mm,1.38 kg,Nhôm - Magie,2019
"●
Bảo hành: 3 tháng tại TGDD Xem thêm","●
Tình trạng máy: Có trầy xước",40.940.000₫,HP EliteBook X360 13 i7 8550U/16GB/512GB/Win10 (5AS42PA),Máy mới đã ngừng kinh doanh,18%,Thời gian bảo hành: 1 năm,Intel Core i7 Coffee Lake,8550U,1.80 GHz,Turbo Boost 4.0 GHz,16 GB,DDR3,2133 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,13.3 inch,Full HD (1920 x 1080),"60Hz, Tấm nền IPS, LED Backlit",Có,Card tích hợp,Intel UHD Graphics 620,Bang & Olufsen audio,"HDMI, USB 3.1, 2 x Thunderbolt 2","Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 4.2",Không,,"FHD Webcam Camera, IR camera","Bút cảm ứng, Bảo mật vân tay",Có,,,"Li-Polymer, 80 Wh",Windows 10 Pro,Dài 305.8 mm - Rộng 205.0 mm - Dày 15.7 mm,1.32 kg,Vỏ kim loại nguyên khối,2019
"●
Bảo hành: 3 tháng tại TGDD Xem thêm","●
Tình trạng máy: Có trầy xước",40.940.000₫,HP EliteBook X360 13 i7 8550U/16GB/512GB/Win10 (5AS42PA),Máy mới đã ngừng kinh doanh,18%,Thời gian bảo hành: 1 năm,Intel Core i7 Coffee Lake,8550U,1.80 GHz,Turbo Boost 4.0 GHz,16 GB,DDR3,2133 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,13.3 inch,Full HD (1920 x 1080),"60Hz, Tấm nền IPS, LED Backlit",Có,Card tích hợp,Intel UHD Graphics 620,Bang & Olufsen audio,"HDMI, USB 3.1, 2 x Thunderbolt 2","Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 4.2",Không,,"FHD Webcam Camera, IR camera","Bút cảm ứng, Bảo mật vân tay",Có,,,"Li-Polymer, 80 Wh",Windows 10 Pro,Dài 305.8 mm - Rộng 205.0 mm - Dày 15.7 mm,1.32 kg,Vỏ kim loại nguyên khối,2019
"●
Bảo hành: 3 tháng tại TGDD Xem thêm","●
Tình trạng máy: Có trầy xước",40.940.000₫,HP EliteBook X360 13 i7 8550U/16GB/512GB/Win10 (5AS42PA),Máy mới đã ngừng kinh doanh,18%,Thời gian bảo hành: 1 năm,Intel Core i7 Coffee Lake,8550U,1.80 GHz,Turbo Boost 4.0 GHz,16 GB,DDR3,2133 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,13.3 inch,Full HD (1920 x 1080),"60Hz, Tấm nền IPS, LED Backlit",Có,Card tích hợp,Intel UHD Graphics 620,Bang & Olufsen audio,"HDMI, USB 3.1, 2 x Thunderbolt 2","Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 4.2",Không,,"FHD Webcam Camera, IR camera","Bút cảm ứng, Bảo mật vân tay",Có,,,"Li-Polymer, 80 Wh",Windows 10 Pro,Dài 305.8 mm - Rộng 205.0 mm - Dày 15.7 mm,1.32 kg,Vỏ kim loại nguyên khối,2019
"●
Bảo hành: 3 tháng tại TGDD Xem thêm","●
Tình trạng máy: Có trầy xước",36.890.000₫,Acer Swift 7 SF714 52T 76C6 i7 8500Y/16GB/512GB/Touch/Túi/Win10 (NX.H98SV.001),Máy mới đã ngừng kinh doanh,,Thời gian bảo hành: 1 năm,Intel Core i7 Coffee Lake,8500Y,1.50 GHz,Turbo Boost 4.2 GHz,16 GB,DDR3 (On board),1866 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,14 inch,Full HD (1920 x 1080),"Tấm nền IPS, LED Backlit, Acer ComfyView",Có,Card tích hợp,Intel UHD Graphics 615,Acer TrueHarmony,"Thunderbolt 3, USB Type-C","Bluetooth 5.0, Wi-Fi 802.11 a/b/g/n/ac",Không,,HD webcam,Bảo mật vân tay,Có,,,3-cell Li-ion,Windows 10 Home SL,Dài 317.9 mm - Rộng 191.5 - Dày 9.95 mm,890 gram,Nhôm - Magie,2019
